product_url,product_name,brand_name,rating,number_of_ratings,product_description,release_date,top_notes,middle_notes,base_notes,main_accords,perfumer,product_images,gender,longevity,sillage,scraped_at,source
https://www.fragrantica.com/perfume/Byredo/1996-Inez-Vinoodh-19247.html,1996 Inez & Vinoodh Byredofor women and men,Byredo,3.88,2661,"1996 Inez & VinoodhbyByredois a Oriental Woody fragrance for women and men.1996 Inez & Vinoodhwas launched in 2013. Top notes are Juniper Berries and Black Pepper; middle notes are Leather, Orris and Violet; base notes are Patchouli, Black Amber and Vanilla.1996 was inspired by Kirsten 1996, a picture of a young girl taken by iconic photographers Inez & Vinoodh in that year. To them, ""This picture represents the duality that underlies our work and our life together and the scent is very much Ben's impeccable and sensitive interpretation of that"", a warm blend of black pepper, leather and patchouli.",2013,"Juniper Berries, Black Pepper","Leather, Orris, Violet","Patchouli, Black Amber, Vanilla","leather, aromatic, fresh spicy, woody",N/A,https://fimgs.net/mdimg/perfume-thumbs/375x500.19247.jpg,for women and men,N/A,N/A,2026-06-06 23:39:47,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Accord-Oud-10757.html,Accord Oud Byredofor women and men,Byredo,4.06,1513,"Accord OudbyByredois a Oriental Spicy fragrance for women and men.Accord Oudwas launched in 2010. Top notes are Blackberry, Rum and Saffron; middle notes are Leather, Agarwood (Oud) and Clary Sage; base notes are Patchouli and Musk.Oud possesses a great cultural significance because of its use in traditional incense and perfumes, and it is also mentioned in one of the world's oldest written texts - the Sanskrit Vedas from India. When the once light Aquilaria tree heartwood becomes infected with a specific type of mold, it defends itself with a dark and fragrant protective resin. This now dark wood, oud or agarwood, holds a complex fragrance, resembling few or no other natural ingredients.Accord Oud composition blends agar with fresh leather accord, blonde woods, spices (saffron, cinnamon) and black plum. It is composed of blackberries, saffron and rum top notes, with the heart of leather and clary sage and the base of patchouli and powdery musk.Its is available as Eau de Parfum in 50 ml and 100 ml bottles.",2010,"Blackberry, Rum, Saffron","Leather, Agarwood (Oud), Clary Sage","Patchouli, Musk","leather, fruity, oud, warm spicy",N/A,https://fimgs.net/mdimg/perfume-thumbs/375x500.10757.jpg,for women and men,N/A,N/A,2026-06-06 23:39:58,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Alto-Astral-111517.html,Alto Astral Byredofor women and men,Byredo,3.73,1196,"Alto AstralbyByredois a Floral Aldehyde fragrance for women and men. This is a new fragrance.Alto Astralwas launched in 2025. The nose behind this fragrance is Jérôme Epinette. Top notes are Coconut Water and Aldehydes; middle notes are Musk, Incense and Jasmine; base notes are Sandalwood, Cashmeran and Amber.WithAlto Astral, Byredo unveils a luminous new chapter in its olfactory narrative—a fragrance that pays vibrant homage to the emotional topography of Brazil. Taking its name from a Brazilian Portuguese phrase evoking elevated mood and spiritual brightness,Alto Astraldistills the soul of optimism, rhythm, and cultural vitality into scent.Radiating with the color, energy, and warmth of Brazil,Alto Astralis inspired by the country’s everyday poetry: samba at sundown, the salty rush of ocean winds, motorcyclists weaving through Rio’s streets with effortless flair. This fragrance is more than a composition—it’s a shared emotional resonance. A sensory portrait of collective exuberance that persists, pulses, and uplifts.FROM RIO: JOY AS A STATE OF BEINGThe campaign, lensed by Rio-born photographer Rafael Moura, unfolds in three intimate visual acts—dance, beach, and street—each an ode to the raw beauty of life in Rio de Janeiro. Raised in the favelas, Moura brings a lens shaped by authenticity and personal narrative. Through his eye, fleeting moments become enduring stories: samba artist Duda Almeida, model Emilly Nunes, and a local riding crew are not posed subjects but vessels of spontaneous truth. Their presence embodiesalto astralnot as aesthetic, but as essence.The moving image campaign, directed by Brazilian filmmaker Breno Moreira, deepens the sensory experience with cinematic fluidity. Shot entirely on location in Rio, it transforms joy into identity—an unfiltered celebration of resilience, rhythm, and radiant presence.THE OLFACTORY COMPOSITIONCrafted by longtime Byredo collaborator Jérome Epinette,Alto Astralopens with a vibrant interplay of aldehydes and creamy coconut—an effervescent yet soft introduction that captivates immediately. At its heart, jasmine petals entwine with airy incense and milky musk, forming an abstract warmth that seems to hover just above the skin. The base unveils a sensual trail of sandalwood, cashmere wood, and salted amber, offering texture, depth, and lingering luminosity.Balancing clarity with comfort, freshness with familiarity,Alto Astralis a fragrance of emotional light—an olfactive expression of upliftment and ease.Presented in Byredo’s signature flacon—minimalist, sculptural, and weighty—the design remains a quiet frame for the story within. A simple white label marksAlto Astral, allowing the fragrance itself to speak: pure, resonant, and unmistakably alive.",2025,"Coconut Water, Aldehydes","Musk, Incense, Jasmine","Sandalwood, Cashmeran, Amber","musky, woody, powdery, aldehydic",Jérôme Epinette,https://fimgs.net/mdimg/perfume-thumbs/375x500.111517.jpg,for women and men,N/A,N/A,2026-06-06 23:40:07,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Animalique-85157.html,Animalique Byredofor women and men,Byredo,4.05,1876,"AnimaliquebyByredois a Oriental Floral fragrance for women and men.Animaliquewas launched in 2023. Top notes are Bergamot and Lemon; middle notes are Violet and Mimosa; base notes are Suede, Tobacco Leaf and Amber.According to the brand, Animalique taps into the primal instincts and authentic essence inherent in every human being. The concept suggests that beneath our intricate layers lies a spiritual animal.The composition opens with fresh top notes of lemon and bergamot giving way to a warm, floral heart of mimosa and violet before the base of suede, amber, and tobacco leaf.Available as 50ml and 100ml Eau de Parfum.",2023,"Bergamot, Lemon","Violet, Mimosa","Suede, Tobacco Leaf, Amber","powdery, leather, violet, musky",N/A,https://fimgs.net/mdimg/perfume-thumbs/375x500.85157.jpg,for women and men,N/A,N/A,2026-06-06 23:40:19,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Bal-d-Afrique-6458.html,Bal d'Afrique Byredofor women and men,Byredo,4.14,17673,"Bal d'AfriquebyByredois a Floral fragrance for women and men.Bal d'Afriquewas launched in 2009. The nose behind this fragrance is Jérôme Epinette. Top notes are Bergamot, African Marigold and Buchu or Agathosma; middle notes are Violet and Cyclamen; base notes are Vetiver and Cedar.Stockholm-based niche line Byredo introduced a new fragrance named Bal d’Afrique, which is ""inspired by Paris in the late 1920's and its infatuation with African culture, art, music, and dance.This mix of Parisian avant-garde and African culture shaped a unique and vibrant expression. The intense life, the excess and euphoria is illustrated by Bal d'Afrique's neroli, African marigold, and Moroccan cedarwood.""Top notes include: bergamot, lemon, neroli, African marigold, Bucchu. Middle notes include: violet, jasmine, and cyclamen. The base is composed of black amber, musk, vetiver, and Moroccan cedarwood.The fragrance is available in 100 ml Eau de Parfum.",2009,"Bergamot, African Marigold, Buchu or Agathosma","Violet, Cyclamen","Vetiver, Cedar","woody, aromatic, earthy, violet",Jérôme Epinette,https://fimgs.net/mdimg/perfume-thumbs/375x500.6458.jpg,for women and men,N/A,N/A,2026-06-06 23:40:28,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Baudelaire-7458.html,Baudelaire Byredofor men,Byredo,4.03,740,"BaudelairebyByredois a Leather fragrance for men.Baudelairewas launched in 2009. Top notes are Juniper Berries, Pepper and Caraway; middle notes are Leather, Incense and Hyacinth; base notes are Patchouli, Papyrus and Amber.Baudelaire by Byredo is a leather fragrance for men. Baudelaire was introduced in 2009. Top notes are caraway, juniper berries and pepper; middle notes are built around hyacinth, incense and leather, while base notes are patchouli, amber and papyrus. Available as 100 ml EDP.",2009,"Juniper Berries, Pepper, Caraway","Leather, Incense, Hyacinth","Patchouli, Papyrus, Amber","fresh spicy, woody, amber, aromatic",N/A,https://fimgs.net/mdimg/perfume-thumbs/375x500.7458.jpg,for men,N/A,N/A,2026-06-06 23:40:37,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Belle-de-Tanger-40622.html,Belle de Tanger Byredofor women and men,Byredo,3.89,56,Belle de TangerbyByredois a Floral Woody Musk fragrance for women and men.Belle de Tangerwas launched in 2016. Top note is Bitter Orange; middle notes are Orris and Violet; base note is Cashmere Wood.,2016,Bitter Orange,"Orris, Violet",Cashmere Wood,"citrus, powdery, woody, iris",N/A,https://fimgs.net/mdimg/perfume-thumbs/375x500.40622.jpg,for women and men,N/A,N/A,2026-06-06 23:40:45,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Bibliotheque-43324.html,Bibliothèque Byredofor women and men,Byredo,3.72,5377,"BibliothèquebyByredois a Floral Woody Musk fragrance for women and men.Bibliothèquewas launched in 2017. Top notes are Plum and Peach; middle notes are Violet and Peony; base notes are Leather, Patchouli, Vanilla and Musk.",2017,"Plum, Peach","Violet, Peony","Leather, Patchouli, Vanilla, Musk","fruity, leather, powdery, sweet",N/A,https://fimgs.net/mdimg/perfume-thumbs/375x500.43324.jpg,for women and men,N/A,N/A,2026-06-06 23:40:57,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Black-Saffron-16220.html,Black Saffron Byredofor women and men,Byredo,3.92,4371,"Black SaffronbyByredois a Oriental Spicy fragrance for women and men.Black Saffronwas launched in 2012. Top notes are Saffron, Juniper Berries and Chinese Grapefruit; middle notes are Leather and Black Violet; base notes are Raspberry, Cashmeran and Vetiver.",2012,"Saffron, Juniper Berries, Chinese Grapefruit","Leather, Black Violet","Raspberry, Cashmeran, Vetiver","leather, fruity, woody, aromatic",N/A,https://fimgs.net/mdimg/perfume-thumbs/375x500.16220.jpg,for women and men,N/A,N/A,2026-06-06 23:41:07,Fragrantica
https://www.fragrantica.com/perfume/Byredo/Blanche-6686.html,Blanche Byredofor women,Byredo,3.7,9121,"BlanchebyByredois a Floral Aldehyde fragrance for women.Blanchewas launched in 2009. Top notes are Aldehydes, Rose and Pink Pepper; middle notes are Peony, Violet and African Orange Flower; base notes are Musk, Woodsy Notes and Sandalwood.Blanche is a fragrance by Byredo introduced in 2009. Just like its name suggests, the perfume is dedicated to white colour. It is airy and simple in its structure, but captures thoughts about a certain person who inspired the creator with its innocence.The perfume opens with white roses, pink pepper and aldehydes. A heart includes violet, neroli and peony. A base is enriched with blond wood, sandalwood and musk. The perfume is available as EDP 100ml.",2009,"Aldehydes, Rose, Pink Pepper","Peony, Violet, African Orange Flower","Musk, Woodsy Notes, Sandalwood","fresh, aldehydic, musky, powdery",N/A,https://fimgs.net/mdimg/perfume-thumbs/375x500.6686.jpg,for women,N/A,N/A,2026-06-06 23:41:17,Fragrantica
